ID;фамилия;имя;отчество;пол;дата рождения;номер полиса ОМС;СНИЛС ВРАЧА;ISHL;ISHOB
167660890;ИваРИНА;ИваЯ;ИваЕВНА;Ж;01.10.2009;1234567798000252;195-563-071 01;306;314
167660891;ИваОТЕНКО;ИваАЛИЙ;ИваКСЕЕВИЧ;М;01.10.2009;1234567737000157;195-563-071 01;306;314
167660892;ИваИНА;ИваАНА;ИваОНОВНА;Ж;01.03.2017;1234567771000533;112-114-169 82;301;301
167660893;ИваИНА;ИваАНА;ИваОНОВНА;Ж;01.03.2017;1234567771000533;066-151-089 49;306;314
167660894;ИваЧЕНКОВ;ИваМЕНТИЙ;ИваРЕЕВИЧ;М;01.10.2016;1234567740000335;066-151-089 49;301;301
167660895;ИваУЕВ;ИваНИД;ИваРЕЕВИЧ;М;01.06.2013;1234567745000422;177-323-114 62;303;304
167660896;ИваЫШЕВ;ИваИР;ИваЕНОВИЧ;М;01.08.2017;1234567738000753;070-248-074 37;303;304
167660897;ИваАНЦЕВ;ИваКСАНДР;ИваГЕЕВИЧ;М;01.05.2012;1234567718000985;070-248-074 37;306;314
167660898;ИваАНЦЕВА;ИваИЯ;ИваГЕЕВНА;Ж;01.02.2017;1234567795000690;070-248-074 37;306;314
167660899;ИваНОВА;ИваОНИКА;ИваКСАНДРОВНА;Ж;01.11.2016;1234567789000264;010-219-152 76;301;301
167660900;ИваНИКОВА;ИваА;ИваГОРЬЕВНА;Ж;01.12.0123;1234567779000199;011-478-976 52;306;314
167660901;ИваЕЕВ;ИваАИЛ;ИваИСОВИЧ;М;01.08.2015;1234567732000089;011-478-976 52;306;314
167660902;ИваНОВА;ИваТЕРИНА;ИваТРИЕВНА;Ж;01.08.2016;1234567771000027;011-478-976 52;301;301
167660903;ИваОЛЕВА;Ива;ИваОНОВНА;Ж;01.10.2007;1234567778000880;011-478-976 52;301;301
167660904;ИваОЛЕВА;Ива;ИваОНОВНА;Ж;01.10.2007;1234567778000880;006-155-925 28;303;304
167660905;ИваАНОВ;ИваКСЕЙ;ИваКСАНДРОВИЧ;М;01.04.2014;1234567738001185;011-478-976 52;306;314
167660906;ИваНОВА;ИваТЕРИНА;ИваТРИЕВНА;Ж;01.08.2016;1234567771000027;047-917-971 08;301;301
167660907;ИваОВАЛОВ;ИваТРИЙ;ИваРЕЕВИЧ;М;01.11.2006;1234567748000014;006-155-925 28;303;304
167660908;ИваЛИНА;ИваНА;ИваЕНТИНОВНА;Ж;01.02.2009;1234567776001773;112-114-169 82;301;301
167660909;ИваМАДАЛИЕВА;ИваАЯ;ИваМАТУЛЛОЕВНА;Ж;01.03.2010;1234567797001072;066-151-089 49;301;301
167660910;ИваРТАЧЕВ;ИваВЕЙ;ИваКСАНДРОВИЧ;М;01.10.2014;1234567734000168;158-535-179 95;306;314
167660911;ИваСТУНОВА;ИваСТАСИЯ;ИваРЕЕВНА;Ж;01.12.2014;1234567769000424;158-535-179 95;306;314
167660912;ИваАСОВ;ИваЗ;ИваРАНОВИЧ;М;01.11.2001;1234567742000033;158-535-179 95;306;314
167660913;ИваУКОВ;ИваИТА;ИваЁМОВИЧ;М;01.05.2016;1234567727000161;036-590-949 84;306;314
167660914;ИваНОВ;ИваДАН;ИваИЛЛОВИЧ;М;01.12.2009;1234567748000664;158-535-179 95;301;301
167660915;ИваМЕДЬ;ИваИЯ;ИваОНОВНА;Ж;01.03.2015;1234567785000227;066-151-089 49;301;301
167660916;ИваОКИМЕНКО;ИваИЛИСА;ИваГЕЕВНА;Ж;01.06.2018;1234567776000426;047-917-971 08;303;304
167660917;ИваПОПОВ;ИваТРИЙ;ИваДИМИРОВИЧ;М;01.03.2017;1234567739000054;158-535-179 95;306;314
167660918;ИваТЫНЮК;ИваАРИОН;ИваКСАНДРОВИЧ;М;01.10.2009;1234567730000626;073-773-148 84;301;301
167660919;ИваЕВЕНЕЦ;ИваМИЛА;ИваТОРОВНА;Ж;01.04.2011;1234567792000197;070-248-074 37;303;304
167660920;ИваКСАНДРОВ;ИваАФИМ;ИваЛОВИЧ;М;01.12.0117;1234567729000082;158-535-179 95;301;301
167660921;ИваЧКОВ;ИваИТА;ИваКСАНДРОВИЧ;М;01.07.2010;1234567728000296;047-917-971 08;301;301
167660922;ИваШНЕВА;ИваТОРИЯ;ИваОЛАЕВНА;Ж;01.12.2015;1234567781000380;158-535-179 95;301;301
167660923;ИваАЧЕВ;ИваДЛЕН;ИваСИМОВИЧ;М;01.08.2017;1234567723000438;010-219-152 76;303;304
167660924;ИваИЛОВ;ИваЕЛ;ИваЛОВИЧ;М;01.02.2016;1234567721000184;158-535-179 95;301;301
167660925;ИваТИЛО;ИваЛИ;ИваИЛЬЕВНА;Ж;01.11.2006;1234567778000102;047-917-971 08;301;301
167660926;ИваДИЕНКО;ИваИваА;ИваТОРОВНА;Ж;01.06.2017;1234567783000540;006-155-925 28;303;304
167660927;ИваЧЕНИ;ИваЁМ;ИваРЕЕВИЧ;М;01.04.2020;1234567730000014;066-151-089 49;303;304
167660928;ИваАЕВА;ИваННАТ;ИваОМЕДОВНА;Ж;01.07.2019;1234567782000109;006-155-925 28;301;301
167660929;ИваИЛОВ;ИваЕЛ;ИваЛОВИЧ;М;01.02.2016;1234567721000184;006-155-925 28;301;301
167660930;ИваТОВ;ИваТРИЙ;ИваГЕЕВИЧ;М;01.02.2009;1234567732000394;066-151-089 49;303;304
167660931;ИваЯГИНА;ИваНА;ИваАЛЬЕВНА;Ж;01.08.2014;1234567786000121;047-917-971 08;301;301
167660932;ИваНОВА;ИваЬЯ;ИваЕНЬЕВНА;Ж;01.09.2011;1234567777000052;006-155-925 28;303;304
167660933;ИваВАК;ИваЁМ;ИваЛОВИЧ;М;01.05.2022;1234567730000139;177-323-114 62;303;304
167660934;ИваЕЛЯВЫЙ;ИваТИСЛАВ;ИваТОРОВИЧ;М;01.10.2011;1234567746000267;036-590-949 84;306;314
167660935;ИваЯГИНА;ИваНА;ИваАЛЬЕВНА;Ж;01.08.2014;1234567786000121;011-478-976 52;301;301
167660936;ИваСНОВА;ИваИЯ;ИваЛАНОВНА;Ж;01.02.2017;1234567793000700;158-535-179 95;301;301
167660937;ИваЕЖНОЙ;ИваКСАНДР;ИваГЕЕВИЧ;М;01.11.2020;1234567719000633;159-520-309 69;303;304
167660938;ИваОВИЦКАЯ;ИваИЯ;ИваАНОВНА;Ж;01.11.0112;1234567779000658;177-323-114 62;306;314
167660939;ИваАНЕНКО;ИваР;ИваОЛАЕВИЧ;М;01.08.2008;1234567744001069;036-590-949 84;306;314
167660940;ИваГИНА;ИваИНА;ИваЛАНОВНА;Ж;01.12.2006;1234567782000866;036-590-949 84;306;314
167660941;ИваОВ;ИваИТА;ИваКСЕЕВИЧ;М;01.10.2009;1234567743000290;066-151-089 49;301;301
167660942;ИваЕНКО;ИваСЯ;ИваРОВНА;Ж;01.01.2015;1234567793000213;158-535-179 95;306;314
167660943;ИваАФАН;ИваСИМ;ИваРЕЕВИЧ;М;01.06.2016;1234567725000861;158-535-179 95;306;314
167660944;ИваОВ;ИваИИЛ;ИваКСЕЕВИЧ;М;01.12.2016;1234567734000355;066-151-089 49;301;301
167660945;ИваЬКО;ИваИЯ;ИваДИМИРОВНА;Ж;01.05.2014;1234567781000109;036-590-949 84;306;314
167660946;ИваОФЕЕВ;ИваДИМИР;ИваРЕЕВИЧ;М;01.01.2006;1234567744000210;047-917-971 08;301;301
167660947;ИваАЕВА;ИваА;ИваИСОВНА;Ж;01.10.2012;1234567785000915;047-917-971 08;303;304
167660948;ИваБАЕВА;ИваМИЛА;ИваУЗОВНА;Ж;01.04.2011;1234567783000331;006-155-925 28;301;301
167660949;ИваАГАН;ИваНА;ИваЕНЬЕВНА;Ж;01.09.2009;1234567795000211;047-917-971 08;306;314
167660950;ИваОНОВА;ИваЬЯ;ИваДИМИРОВНА;Ж;01.05.2011;1234567787000250;195-563-071 01;301;301
167660951;ИваАЙ;ИваАЛЬЯ;ИваРЕЕВНА;Ж;01.07.2009;1234567794000202;010-219-152 76;306;314
167660952;ИваЕНКО;ИваСТАСИЯ;ИваАЛЬЕВНА;Ж;01.03.2010;1234567770000331;047-917-971 08;303;304
167660953;ИваАБАНОВ;ИваПАН;ИваЕНЬЕВИЧ;М;01.05.2017;1234567733000300;047-917-971 08;306;314
167660954;ИваСТЯН;ИваЛИЯ;ИваЕНОВНА;Ж;01.09.0117;1234567779000184;047-917-971 08;306;314
167660955;ИваИСОВ;ИваКСАНДР;ИваТОРОВИЧ;М;01.01.2017;1234567726000628;047-917-971 08;306;314
167660956;ИваЛИНА;ИваНА;ИваЕНТИНОВНА;Ж;01.02.2009;1234567776001773;159-520-309 69;301;301
167660957;ИваЛИНА;ИваНА;ИваЕНТИНОВНА;Ж;01.02.2009;1234567776001773;159-520-309 69;306;314
167660958;ИваНЫЙ;ИваСИМ;ИваДИМИРОВИЧ;М;01.06.2014;1234567724000031;047-917-971 08;301;301
167660959;ИваНЫЙ;ИваСИМ;ИваДИМИРОВИЧ;М;01.06.2014;1234567724000031;010-219-152 76;306;314
167660960;ИваЕЕВА;ИваНА;ИваЕНЬЕВНА;Ж;01.07.2016;1234567793000786;140-848-794 83;306;314
167660961;ИваОЯН;ИваИР;ИваУНОВИЧ;М;01.01.2016;1234567737000123;158-535-179 95;301;301
167660962;ИваОЯН;ИваИР;ИваУНОВИЧ;М;01.01.2016;1234567737000123;010-219-152 76;306;314
167660963;ИваОВОРА;ИваВЕЙ;ИваРЕЕВИЧ;М;01.01.2016;1234567746000418;158-535-179 95;301;301
167660964;ИваИКОВ;ИваТОР;ИваКСАНДРОВИЧ;М;01.01.2008;1234567743000834;177-323-114 62;303;304
167660965;ИваИЛЬЕВ;ИваКСАНДР;ИваАНОВИЧ;М;01.07.2015;1234567719001106;036-590-949 84;306;314
167660966;ИваНЯКОВА;ИваЕНА;ИваДИСЛАВОВНА;Ж;01.06.2009;1234567796000858;177-323-114 62;306;314
167660967;ИваАНЯН;ИваРАН;ИваАЙРОВИЧ;М;01.03.2016;1234567741000587;066-151-089 49;303;304
167660968;ИваФИЕВА;ИваМИЛА;ИваЛАНОВНА;Ж;01.11.2015;1234567790000775;073-773-148 84;303;304
167660969;ИваОЛАЕВ;ИваИЛ;ИваИСОВИЧ;М;01.02.2010;1234567737000290;177-323-114 62;306;314
167660970;ИваУЧАРОВА;ИваАГЕЯ;ИваИСОВНА;Ж;01.10.2017;1234567784000040;195-563-071 01;301;301
167660971;ИваИННИКОВА;ИваАЛЬЯ;ИваЕНЬЕВНА;Ж;01.05.2015;1234567771000066;036-590-949 84;306;314
167660972;ИваИН;ИваН;ИваДИМИРОВИЧ;М;01.10.2017;1234567735000503;010-219-152 76;303;304
167660973;ИваБОСТОВ;ИваАР;ИваАЙЛОВИЧ;М;01.10.2014;1234567725000938;066-151-089 49;306;314
167660974;ИваНИН;ИваЯ;ИваТРИЕВИЧ;М;01.11.2009;1234567719000507;195-563-071 01;303;304
167660975;ИваЕНКО;ИваИЯ;ИваКСАНДРОВНА;Ж;01.11.2008;1234567797000351;195-563-071 01;306;314
167660976;ИваЕЧКИНА;ИваА;ИваАНОВНА;Ж;01.10.2009;1234567774000565;195-563-071 01;306;314
167660977;ИваЫШЕВА;ИваЕРИЯ;ИваДИМИРОВНА;Ж;01.05.2009;1234567798000750;195-563-071 01;306;314
167660978;ИваБЛА;ИваЗАВЕТА;ИваАНОВНА;Ж;01.05.2008;1234567795000011;006-155-925 28;303;304
167660979;ИваОЙЛЕНКО;ИваКСАНДР;ИваЕРЬЕВИЧ;М;01.05.2016;1234567722000251;006-155-925 28;301;301
167660980;ИваНЕЦОВА;ИваИНА;ИваИЛЬЕВНА;Ж;01.07.2015;1234567785000226;158-535-179 95;306;314
167660981;ИваАЛЯН;ИваАН;ИваТОВИЧ;М;01.01.2017;1234567747000037;158-535-179 95;301;301
167660982;ИваБОСТОВ;ИваАР;ИваАЙЛОВИЧ;М;01.10.2014;1234567725000938;158-535-179 95;301;301
167660983;ИваАЛЯН;ИваАН;ИваТОВИЧ;М;01.01.2017;1234567747000037;006-155-925 28;301;301
167660984;ИваМАЧЕВ;ИваЛАН;ИваРЕВИЧ;М;01.01.0121;1234567729000490;010-219-152 76;306;314
167660985;ИваИЛОВ;ИваИЛ;ИваОМЕДОВИЧ;М;01.10.2010;1234567722000588;047-917-971 08;303;304
167660986;ИваЗАЕВА;ИваСТАСИЯ;ИваГЕЕВНА;Ж;01.07.2015;1234567776000967;073-773-148 84;301;301
167660987;ИваРЧЕНКО;ИваТОРИЯ;ИваГЕЕВНА;Ж;01.02.2014;1234567771000402;066-151-089 49;301;301
167660988;ИваЧАРОВА;ИваНИЯ;ИваКСАНДРОВНА;Ж;01.07.2018;1234567793000211;066-151-089 49;301;301
167660989;ИваЦЫНА;ИваА;ИваКСАНДРОВНА;Ж;01.05.2019;1234567781000545;177-323-114 62;306;314
167660990;ИваОЕВ;ИваТРИЙ;ИваДИМИРОВИЧ;М;01.04.2012;1234567726000221;066-151-089 49;301;301
167660991;ИваТИСЯН;ИваИНЕ;ИваМОВНА;Ж;01.12.2010;1234567781000602;158-535-179 95;301;301
167660992;ИваСКИНА;ИваНА;ИваЕРЬЕВНА;Ж;01.12.2016;1234567794000394;073-773-148 84;303;304
167660993;ИваТИСЯН;ИваИНЕ;ИваМОВНА;Ж;01.12.2010;1234567781000602;011-478-976 52;301;301
167660994;ИваИТА;ИваН;ИваЕВИЧ;М;01.07.2015;1234567725000639;159-520-309 69;303;304
167660995;ИваМОВ-ГУРКИН;ИваАР;ИваЛАНОВИЧ;М;01.12.2007;1234567736000020;073-773-148 84;301;301
167660996;ИваЕНИХИН;ИваИАН;ИваКСАНДРОВИЧ;М;01.09.2007;1234567726000765;073-773-148 84;301;301
167660997;ИваЕНТЬЕВ;ИваКСЕЙ;ИваГЕЕВИЧ;М;01.05.2007;1234567748000450;073-773-148 84;301;301
167660998;ИваАНЕНКО;ИваИИЛ;ИваАЛЬЕВИЧ;М;01.02.2007;1234567748000184;073-773-148 84;301;301
167660999;ИваОРОВ;ИваЯ;ИваСИМОВИЧ;М;01.09.2007;1234567721000976;073-773-148 84;301;301
167661000;ИваВКА;ИваСТАСИЯ;ИваТРИЕВНА;Ж;01.04.2008;1234567790001013;066-151-089 49;303;304
167661001;ИваБИВНИЧИЙ;ИваАИЛ;ИваКСЕЕВИЧ;М;01.05.2018;1234567745000274;047-917-971 08;301;301
167661002;ИваЧЕВ;ИваИИЛ;ИваНИСЛАВОВИЧ;М;01.09.2008;1234567739000488;158-535-179 95;301;301
167661003;ИваОВНИКОВ;ИваАИЛ;ИваЛОВИЧ;М;01.09.2015;1234567745000694;036-590-949 84;306;314
167661004;ИваАКАНОВА;ИваЕРИЯ;ИваНОВНА;Ж;01.01.2015;1234567772000436;036-590-949 84;306;314
167661005;ИваВИНОВ;ИваЕНИЙ;ИваСИМОВИЧ;М;01.04.2007;1234567735000652;006-155-925 28;303;304
167661006;ИваРОВ;ИваКСЕЙ;ИваГЕЕВИЧ;М;01.11.2016;1234567730000739;010-219-152 76;303;304
167661007;ИваОЧКО;ИваТРИЙ;ИваГЕЕВИЧ;М;01.03.2007;1234567733000836;010-219-152 76;306;314
167661008;ИваДАКОВА;ИваЕЛИНА;ИваТРИЕВНА;Ж;01.12.2014;1234567791000092;047-917-971 08;301;301
167661009;ИваИНСКАЯ;ИваКСАНДРА;ИваЕСЛАВОВНА;Ж;01.10.2014;1234567775000106;006-155-925 28;306;314
167661010;ИваЫРШИНА;ИваЕРИЯ;ИваАЭЛЬЕВНА;Ж;01.08.2009;1234567783000115;010-219-152 76;306;314
167661011;ИваТИКОВ;ИваИПП;ИваЛОВИЧ;М;01.08.2015;1234567728000397;158-535-179 95;306;314
167661012;ИваТНИКОВ;ИваКСАНДР;ИваЕНЬЕВИЧ;М;01.07.2015;1234567722000415;158-535-179 95;306;314
167661013;ИваОЦКИЙ;ИваД;ИваЕНЬЕВИЧ;М;01.03.0115;1234567729000730;158-535-179 95;306;314
167661014;ИваСОЛОВ;ИваВЕЙ;ИваРЕВИЧ;М;01.07.2001;1234567734000060;158-535-179 95;306;314
167661015;ИваЕРЕНКО;ИваЯ;ИваРЕВИЧ;М;01.07.2006;1234567732000730;010-219-152 76;301;301
167661016;ИваЧАРОВ;ИваОР;ИваКСАНДРОВИЧ;М;01.07.2016;1234567740000211;047-917-971 08;301;301
167661017;ИваБЕНЮК;ИваАН;ИваТРИЕВИЧ;М;01.02.2010;1234567746000539;047-917-971 08;301;301
167661018;ИваУГОВА;ИваИЯ;ИваТРИЕВНА;Ж;01.03.2010;1234567770000612;140-848-794 83;306;314
167661019;ИваАНОВА;ИваЕНИЯ;ИваТРИЕВНА;Ж;01.12.2009;1234567769000762;066-151-089 49;301;301
167661020;ИваУГОВА;ИваИЯ;ИваТРИЕВНА;Ж;01.03.2015;1234567790000334;140-848-794 83;306;314
167661021;ИваЕНКО;ИваИЯ;ИваТОРОВНА;Ж;01.09.2008;1234567792000272;073-773-148 84;301;301
167661022;ИваЕШ;ИваТЕРИНА;ИваРЕВНА;Ж;01.01.2009;1234567784000232;066-151-089 49;301;301
167661023;ИваНЕНКО;ИваВЕЙ;ИваТОРОВИЧ;М;01.08.2008;1234567737000318;066-151-089 49;301;301
167661024;ИваЮКИНА;ИваИваА;ИваКСАНДРОВНА;Ж;01.02.2021;1234567772000030;066-151-089 49;306;314
167661025;ИваОНОВА;ИваЬЯ;ИваДИМИРОВНА;Ж;01.05.2011;1234567787000250;011-478-976 52;301;301
167661026;ИваОРУК;ИваКСАНДРА;ИваКСАНДРОВНА;Ж;01.06.2008;1234567771000131;066-151-089 49;301;301
167661027;ИваЦКАЯ;ИваЕРИЯ;ИваНИСЛАВОВНА;Ж;01.01.2017;1234567783000842;177-323-114 62;303;304
167661028;ИваКУТОВА;ИваНИЯ;ИваЕНЬЕВНА;Ж;01.10.2007;1234567773000067;011-478-976 52;306;314
167661029;ИваАЛЮК;ИваИД;ИваРЕЕВИЧ;М;01.03.2011;1234567732000900;073-773-148 84;303;304
167661030;ИваСИМОВ;ИваЕНИЙ;ИваСИМОВИЧ;М;01.01.2014;1234567728000825;158-535-179 95;306;314
167661031;ИваЧЕНКО;ИваДИСЛАВА;ИваГЕЕВНА;Ж;01.04.2012;1234567788001003;011-478-976 52;306;314
167661032;ИваУЕВ;ИваНИД;ИваРЕЕВИЧ;М;01.06.2013;1234567745000422;158-535-179 95;301;301
167661033;ИваОНОВСКАЯ;ИваЕЛИНА;ИваГЕЕВНА;Ж;01.05.2014;1234567793000219;158-535-179 95;306;314
167661034;ИваБУЛАТОВА;ИваИЯ;ИваУРОВНА;Ж;01.06.2021;1234567780000624;177-323-114 62;306;314
167661035;ИваКОВ;ИваИЛЛ;ИваРЕЕВИЧ;М;01.04.2015;1234567726000209;066-151-089 49;303;304
167661036;ИваТНОВА;ИваЬЯ;ИваКСАНДРОВНА;Ж;01.07.2014;1234567797000456;158-535-179 95;306;314
167661037;ИваЧЕНКО;ИваЛИНА;ИваЕНЬЕВНА;Ж;01.02.2014;1234567782000182;158-535-179 95;306;314
167661038;ИваУЕВ;ИваНИД;ИваРЕЕВИЧ;М;01.06.2013;1234567745000422;073-773-148 84;303;304
167661039;ИваЫБОВ;ИваР;ИваАТОВИЧ;М;01.09.2018;1234567723000894;159-520-309 69;306;314
167661040;ИваНЕЦ;ИваКСАНДР;ИваГЕЕВИЧ;М;01.11.2019;1234567742310315;010-219-152 76;306;314
167661041;ИваЮКИН;ИваН;ИваКСАНДРОВИЧ;М;01.02.2016;1234567745001874;006-155-925 28;303;304
167661042;ИваНОВА;ИваСТАСИЯ;ИваСИМОВНА;Ж;01.07.2013;1234567783000058;010-219-152 76;306;314
167661043;ИваОБЬЕВ;ИваАН;ИваОНОВИЧ;М;01.09.2015;1234567742000317;158-535-179 95;301;301
167661044;ИваЩЕНКО;ИваТОРИЯ;ИваАНОВНА;Ж;01.12.2012;1234567782000143;158-535-179 95;301;301
167661045;ИваКОВ;ИваЯ;ИваГЕЕВИЧ;М;01.07.2011;1234567723000467;036-590-949 84;306;314
167661046;ИваКО;ИваКСАНДР;ИваГЕЕВИЧ;М;01.07.2014;1234567730000290;010-219-152 76;306;314
167661047;ИваОБЬЕВ;ИваАН;ИваОНОВИЧ;М;01.09.2015;1234567742000317;047-917-971 08;303;304
167661048;ИваЧЕНКО;ИваДИСЛАВА;ИваГЕЕВНА;Ж;01.04.2012;1234567788001003;010-219-152 76;303;304
167661049;ИваИН;ИваДИСЛАВ;ИваОЛАЕВИЧ;М;01.12.2017;1234567746000267;047-917-971 08;301;301
167661050;ИваАСИМЕНКО;ИваИЯ;ИваГЕЕВНА;Ж;01.03.2021;1234567770000557;010-219-152 76;306;314
167661051;ИваМАЧЕНКО;ИваИЯ;ИваСИМОВНА;Ж;01.11.2016;1234567774000942;158-535-179 95;301;301
167661052;ИваЬМИН;ИваИТА;ИваИМОВИЧ;М;01.06.2015;1234567736000067;006-155-925 28;301;301
167661053;ИваКО;ИваЬЯНА;ИваГЕЕВНА;Ж;01.04.2006;1234567778000161;010-219-152 76;306;314
167661054;ИваКО;ИваКСАНДР;ИваГЕЕВИЧ;М;01.07.2014;1234567730000290;158-535-179 95;301;301
167661055;ИваДАСАРЬЯНЦ;ИваЛАН;ИваАНОВИЧ;М;01.02.2014;1234567742000572;159-520-309 69;306;314
167661056;ИваКО;ИваАИЛ;ИваНОВИЧ;М;01.10.2014;1234567741000128;159-520-309 69;306;314
167661057;ИваНЕЛЮК;ИваРИЕЛА;ИваЕВНА;Ж;01.06.2008;1234567774000690;010-219-152 76;303;304
167661058;ИваУРОВА;ИваНИЯ;ИваАНОВНА;Ж;01.01.2017;1234567769000062;047-917-971 08;301;301
167661059;ИваЛЮК;Ива;ИваЕСЛАВОВНА;Ж;01.11.2013;1234567787000395;070-248-074 37;303;304
167661060;ИваРУКОВ;ИваПАН;ИваДИМИРОВИЧ;М;01.01.2018;1234567718000455;011-478-976 52;306;314
167661061;ИваИН;ИваЁМ;ИваОНОВИЧ;М;01.09.2008;1234567735000279;158-535-179 95;301;301
167661062;ИваОЛИНА;ИваИЯ;ИваГЕЕВНА;Ж;01.11.2019;1234567786000720;195-563-071 01;303;304
167661063;ИваОЛИН;ИваГЕЙ;ИваГЕЕВИЧ;М;01.05.2018;1234567720001386;195-563-071 01;303;304
167661064;ИваЬКО;ИваР;ИваСТАНТИНОВИЧ;М;01.01.2017;1234567744000626;036-590-949 84;306;314
167661065;ИваИН;ИваЁМ;ИваОНОВИЧ;М;01.09.2008;1234567735000279;066-151-089 49;303;304
167661066;ИваЛОВА;ИваИЯ;ИваКСАНДРОВНА;Ж;01.07.2014;1234567780001622;159-520-309 69;306;314
167661067;ИваИНОВ;ИваИС;ИваТРИЕВИЧ;М;01.06.2014;1234567739000045;159-520-309 69;306;314
167661068;ИваАЕВА;ИваОНИКА;ИваГЕЕВНА;Ж;01.02.2014;1234567784000795;159-520-309 69;306;314
167661069;ИваАЕВА;ИваТОРИЯ;ИваГЕЕВНА;Ж;01.02.2014;1234567784000803;159-520-309 69;306;314
167661070;ИваШКОВА;ИваКСАНДРА;ИваДИМИРОВНА;Ж;01.03.2014;1234567775000250;159-520-309 69;306;314
167661071;ИваОВКИН;ИваЁМ;ИваГЕЕВИЧ;М;01.11.2006;1234567730000219;177-323-114 62;303;304
167661072;ИваАКОВА;ИваКСАНДРА;ИваНОВНА;Ж;01.08.2014;1234567787000749;159-520-309 69;306;314
167661073;ИваИКОВА;ИваТЕРИНА;ИваЕНЬЕВНА;Ж;01.02.2008;1234567784000249;177-323-114 62;306;314
167661074;ИваРЕВА;ИваНА;ИваКСАНДРОВНА;Ж;01.03.2012;1234567792000650;177-323-114 62;306;314
167661075;ИваРЧЕНКО;ИваТРИЙ;ИваГЕЕВИЧ;М;01.06.2012;1234567748000154;066-151-089 49;301;301
167661076;ИваОЗЕВА;ИваЬЯНА;ИваРЕЕВНА;Ж;01.08.2014;1234567797000175;158-535-179 95;301;301
167661077;ИваГИНА;ИваИНА;ИваЛАНОВНА;Ж;01.12.2006;1234567782000866;070-248-074 37;301;301
